Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,con,lab,ld,ukip,grn,dup,sf,sdlp,snp,pc,other,con_pc,lab_pc,ld_pc,ukip_pc,grn_pc,dup_pc,sf_pc,sdlp_pc,snp_pc,pc_pc,other_pc,geo,winner
11.0,Amber Valley,East Midlands,2010.0,70171.0,45958,17746.0,17210.0,6636.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,3460.0,0.3861351668915096,0.374472344314374,0.14439270638408983,0.019713651594934507,0.0,0.0,0.0,0.0,0.0,0.0,0.07528613081509204,England_not_london,con
12.0,Angus,Scotland,2010.0,62860.0,37960,11738.0,6535.0,4090.0,577.0,0.0,0.0,0.0,0.0,15020.0,0.0,0.0,0.30922023182297154,0.17215489989462593,0.1077449947312961,0.015200210748155954,0.0,0.0,0.0,0.0,0.39567966280295047,0.0,0.0,Scotland,snp
13.0,Antrim East,Northern Ireland,2010.0,60204.0,30502,0.0,0.0,0.0,0.0,0.0,13993.0,2064.0,2019.0,0.0,0.0,12426.0,0.0,0.0,0.0,0.0,0.0,0.4587568028326011,0.06766769392171006,0.06619238082748673,0.0,0.0,0.40738312241820207,NI,dup
14.0,Antrim North,Northern Ireland,2010.0,73338.0,42397,0.0,0.0,0.0,0.0,0.0,19672.0,5265.0,3738.0,0.0,0.0,13722.0,0.0,0.0,0.0,0.0,0.0,0.4639950939924995,0.12418331485718329,0.08816661556242186,0.0,0.0,0.32365497558789535,NI,dup
15.0,Antrim South,Northern Ireland,2010.0,63054.0,34009,0.0,0.0,0.0,0.0,0.0,11536.0,4729.0,2955.0,0.0,0.0,14789.0,0.0,0.0,0.0,0.0,0.0,0.33920432826604724,0.13905142756329206,0.08688876473874563,0.0,0.0,0.4348554794319151,NI,dup
16.0,Arfon,Wales,2010.0,41198.0,26078,4416.0,7928.0,3666.0,685.0,0.0,0.0,0.0,0.0,0.0,9383.0,0.0,0.16933813942787024,0.3040110437917018,0.14057826520438685,0.0262673517907815,0.0,0.0,0.0,0.0,0.0,0.3598051997852596,0.0,Wales,pc
17.0,Argyll & Bute,Scotland,2010.0,67165.0,45207,10861.0,10274.0,14292.0,0.0,789.0,0.0,0.0,0.0,8563.0,0.0,428.0,0.24025040369854225,0.22726568894197802,0.31614572964363924,0.0,0.017453049306523326,0.0,0.0,0.0,0.18941756807574048,0.0,0.00946756033357666,Scotland,ld
18.0,Arundel & South Downs,South East,2010.0,76835.0,55982,32333.0,4835.0,15642.0,3172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5775606444928727,0.086367046550677,0.2794112393269265,0.056661069629523775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England_not_london,con
19.0,Ashfield,East Midlands,2010.0,77379.0,48196,10698.0,16239.0,16047.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,4279.0,0.22196862810191717,0.3369366752427587,0.33295294215287574,0.019358452983650097,0.0,0.0,0.0,0.0,0.0,0.0,0.08878330151879824,England_not_london,lab
20.0,Ashford,South East,2010.0,81271.0,55185,29878.0,9204.0,12581.0,2508.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5414152396484552,0.1667844522968198,0.22797861737791067,0.045447132372927426,0.018374558303886925,0.0,0.0,0.0,0.0,0.0,0.0,England_not_london,con
21.0,Ashton Under Lyne,North West,2010.0,67714.0,38432,9510.0,18604.0,5703.0,1686.0,0.0,0.0,0.0,0.0,0.0,0.0,2929.0,0.24745004163197334,0.4840757701915071,0.14839196502914237,0.04386969192339717,0.0,0.0,0.0,0.0,0.0,0.0,0.07621253122398002,England_not_london,lab
22.0,Aylesbury,South East,2010.0,77844.0,53162,27736.0,6695.0,15118.0,3613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217260449193033,0.12593581881795268,0.2843760580866032,0.06796207817614085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England_not_london,con
23.0,"Ayr, Carrick & Cumnock",Scotland,2010.0,73320.0,45893,11721.0,21632.0,4264.0,0.0,0.0,0.0,0.0,0.0,8276.0,0.0,0.0,0.2553984267753252,0.471357287603774,0.09291177303728237,0.0,0.0,0.0,0.0,0.0,0.1803325125836184,0.0,0.0,Scotland,lab
24.0,Ayrshire Central,Scotland,2010.0,68352.0,43915,8943.0,20950.0,5236.0,0.0,0.0,0.0,0.0,0.0,8364.0,0.0,422.0,0.20364340202664238,0.4770579528634863,0.1192303313218718,0.0,0.0,0.0,0.0,0.0,0.19045884094273027,0.0,0.00960947284526927,Scotland,lab
25.0,Ayrshire North & Arran,Scotland,2010.0,74223.0,46116,7212.0,21860.0,4630.0,0.0,0.0,0.0,0.0,0.0,11965.0,0.0,449.0,0.15638823835545146,0.47402203139908056,0.1003989938416168,0.0,0.0,0.0,0.0,0.0,0.25945441929048485,0.0,0.009736317113366293,Scotland,lab
26.0,Banbury,South East,2010.0,84379.0,56241,29703.0,10773.0,11476.0,2806.0,959.0,0.0,0.0,0.0,0.0,0.0,524.0,0.5281378353869952,0.1915506481036966,0.20405042584591312,0.04989242723280169,0.01705161714763251,0.0,0.0,0.0,0.0,0.0,0.009317046282960829,England_not_london,con
27.0,Banff & Buchan,Scotland,2010.0,64300.0,38466,11841.0,5382.0,4365.0,0.0,0.0,0.0,0.0,0.0,15868.0,0.0,1010.0,0.3078302916861644,0.1399157697707066,0.11347683668694432,0.0,0.0,0.0,0.0,0.0,0.4125201476628711,0.0,0.026256954193313576,Scotland,snp
28.0,Barking,London,2010.0,73868.0,45343,8073.0,24628.0,3719.0,1300.0,317.0,0.0,0.0,0.0,0.0,0.0,7306.0,0.17804291731910107,0.543148887369605,0.0820192753015901,0.028670357056215953,0.006991156297554198,0.0,0.0,0.0,0.0,0.0,0.16112740665593367,London,lab
29.0,Barnsley Central,Yorkshire and the Humber,2010.0,65543.0,37001,6388.0,17487.0,6394.0,1727.0,0.0,0.0,0.0,0.0,0.0,0.0,5005.0,0.172643982595065,0.47260884840950246,0.17280614037458447,0.04667441420502148,0.0,0.0,0.0,0.0,0.0,0.0,0.1352666144158266,England_not_london,lab
30.0,Barnsley East,Yorkshire and the Humber,2010.0,68435.0,38386,6329.0,18059.0,6969.0,1731.0,0.0,0.0,0.0,0.0,0.0,0.0,5298.0,0.16487782003855572,0.4704579794716824,0.18155056531026936,0.045094565727088004,0.0,0.0,0.0,0.0,0.0,0.0,0.13801906945240452,England_not_london,lab
31.0,Barrow & Furness,North West,2010.0,68943.0,44124,16018.0,21226.0,4424.0,841.0,530.0,0.0,0.0,0.0,0.0,0.0,1085.0,0.363022391442299,0.48105339497778987,0.10026289547638473,0.01905992203789321,0.012011603662405947,0.0,0.0,0.0,0.0,0.0,0.02458979240322727,England_not_london,lab
32.0,Basildon & Billericay,Eastern,2010.0,65515.0,41569,21922.0,9584.0,6538.0,1591.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.0,0.527364141547788,0.23055642425846185,0.15728066588082465,0.038273713584642405,0.0,0.0,0.0,0.0,0.0,0.0,0.0465250547282831,England_not_london,con
33.0,Basildon South & Thurrock East,Eastern,2010.0,71874.0,44735,19624.0,13852.0,5977.0,2639.0,0.0,0.0,0.0,0.0,0.0,0.0,2643.0,0.438672180619202,0.3096456912931709,0.13360903096009835,0.0589918408405052,0.0,0.0,0.0,0.0,0.0,0.0,0.059081256287023584,England_not_london,con
34.0,Basingstoke,South East,2010.0,75473.0,50654,25590.0,10327.0,12414.0,2076.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.5051920874955581,0.20387333675524144,0.24507442650136219,0.040983930193074586,0.0,0.0,0.0,0.0,0.0,0.0,0.004876219054763691,England_not_london,con
35.0,Bassetlaw,East Midlands,2010.0,76513.0,49577,16803.0,25018.0,5570.0,1779.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,0.3389273251709462,0.5046291627165823,0.11235048510397967,0.035883575044879684,0.0,0.0,0.0,0.0,0.0,0.0,0.008209451963612158,England_not_london,lab
36.0,Bath,South West,2010.0,66686.0,47086,14768.0,3251.0,26651.0,890.0,1120.0,0.0,0.0,0.0,0.0,0.0,406.0,0.31363887355052456,0.06904387716093956,0.5660068810262073,0.01890158433504651,0.023786263432867518,0.0,0.0,0.0,0.0,0.0,0.008622520494414476,England_not_london,ld
37.0,Batley & Spen,Yorkshire and the Humber,2010.0,76738.0,51109,17159.0,21565.0,8095.0,0.0,605.0,0.0,0.0,0.0,0.0,0.0,3685.0,0.3357334324678628,0.42194134105539144,0.15838697685339176,0.0,0.01183744545970377,0.0,0.0,0.0,0.0,0.0,0.07210080416365024,England_not_london,lab
38.0,Battersea,London,2010.0,74311.0,48792,23103.0,17126.0,7176.0,505.0,559.0,0.0,0.0,0.0,0.0,0.0,323.0,0.4734997540580423,0.3510001639613051,0.147073290703394,0.010350057386456796,0.011456796196097721,0.0,0.0,0.0,0.0,0.0,0.00661993769470405,London,con
39.0,Beaconsfield,South East,2010.0,74982.0,52490,32053.0,6135.0,10271.0,2597.0,768.0,0.0,0.0,0.0,0.0,0.0,666.0,0.6106496475519146,0.11687940560106687,0.19567536673652125,0.0494760906839398,0.014631358353972185,0.0,0.0,0.0,0.0,0.0,0.012688131072585254,England_not_london,con
40.0,Beckenham,London,2010.0,66219.0,47686,27597.0,6893.0,9813.0,1551.0,608.0,0.0,0.0,0.0,0.0,0.0,1224.0,0.5787233150190831,0.14454976303317535,0.20578366816256344,0.0325252694711236,0.012750073396804094,0.0,0.0,0.0,0.0,0.0,0.025667910917250347,London,con
41.0,Bedford,Eastern,2010.0,68530.0,45102,17546.0,16193.0,8957.0,1136.0,393.0,0.0,0.0,0.0,0.0,0.0,877.0,0.3890293113387433,0.3590306416566893,0.19859429737040485,0.0251873531107268,0.00871358254622855,0.0,0.0,0.0,0.0,0.0,0.01944481397720722,England_not_london,con
42.0,Bedfordshire Mid,Eastern,2010.0,76310.0,54897,28815.0,8108.0,13663.0,2826.0,773.0,0.0,0.0,0.0,0.0,0.0,712.0,0.5248920706049511,0.1476947738492085,0.24888427418620326,0.05147822285370785,0.014080915168406288,0.0,0.0,0.0,0.0,0.0,0.012969743337522998,England_not_london,con
43.0,Bedfordshire North East,Eastern,2010.0,78060.0,55552,30989.0,8957.0,12047.0,2294.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.0,0.5578377016129032,0.16123631912442396,0.21685987903225806,0.041294642857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.02277145737327189,England_not_london,con
44.0,Bedfordshire South West,Eastern,2010.0,76559.0,50774,26815.0,9948.0,10166.0,2142.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.0,0.5281246307165085,0.19592704927718912,0.200220585338953,0.04218694607476267,0.0,0.0,0.0,0.0,0.0,0.0,0.03354078859258676,England_not_london,con
45.0,Belfast East,Northern Ireland,2010.0,59007.0,34488,0.0,0.0,0.0,0.0,0.0,11306.0,817.0,365.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.32782417072604964,0.023689399211319878,0.010583391324518673,0.0,0.0,0.6379030387381118,NI,APNI
46.0,Belfast North,Northern Ireland,2010.0,65504.0,36993,0.0,0.0,0.0,0.0,0.0,14812.0,12588.0,4544.0,0.0,0.0,5049.0,0.0,0.0,0.0,0.0,0.0,0.4004000756899954,0.3402805936258211,0.12283404968507555,0.0,0.0,0.13648528099910795,NI,dup
47.0,Belfast South,Northern Ireland,2010.0,59524.0,34186,0.0,0.0,0.0,0.0,1036.0,8100.0,0.0,14026.0,0.0,0.0,11024.0,0.0,0.0,0.0,0.0,0.030304803135786578,0.23693909787632364,0.0,0.41028491195226113,0.0,0.0,0.3224711870356286,NI,sdlp
48.0,Belfast West,Northern Ireland,2010.0,59522.0,32133,0.0,0.0,0.0,0.0,0.0,2436.0,22840.0,5261.0,0.0,0.0,1596.0,0.0,0.0,0.0,0.0,0.0,0.07580991504061245,0.7107957551426882,0.16372576479009118,0.0,0.0,0.04966856502660816,NI,sf
49.0,Bermondsey & Old Southwark,London,2010.0,77628.0,44651,7638.0,13060.0,21590.0,0.0,718.0,0.0,0.0,0.0,0.0,0.0,1645.0,0.1710599986562451,0.2924906497054937,0.483527804528454,0.0,0.016080266959306623,0.0,0.0,0.0,0.0,0.0,0.03684128015050055,London,ld
50.0,Berwick-upon-Tweed,North East,2010.0,56578.0,38439,14116.0,5061.0,16806.0,1243.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.0,0.3672311974817243,0.13166315460860065,0.4372122063529228,0.032336949452379096,0.0,0.0,0.0,0.0,0.0,0.0,0.03155649210437316,England_not_london,ld
51.0,"Berwickshire, Roxburgh & Selkirk",Scotland,2010.0,73826.0,49014,16555.0,5003.0,22230.0,595.0,0.0,0.0,0.0,0.0,4497.0,0.0,134.0,0.33776063981719506,0.10207287713714448,0.4535438854204921,0.01213938874607255,0.0,0.0,0.0,0.0,0.09174929611947606,0.0,0.0027339127596197007,Scotland,ld
52.0,Bethnal Green & Bow,London,2010.0,81243.0,50728,7071.0,21784.0,10210.0,0.0,856.0,0.0,0.0,0.0,0.0,0.0,10807.0,0.13939047468853494,0.42942753508910264,0.20126951584923514,0.0,0.01687431004573411,0.0,0.0,0.0,0.0,0.0,0.21303816432739314,London,lab
53.0,Beverley & Holderness,Yorkshire and the Humber,2010.0,79318.0,53199,25063.0,11224.0,12076.0,1845.0,686.0,0.0,0.0,0.0,0.0,0.0,2305.0,0.4711178781556044,0.2109814094249892,0.22699674805917405,0.03468110302825241,0.012894979228932875,0.0,0.0,0.0,0.0,0.0,0.04332788210304705,England_not_london,con
54.0,Bexhill & Battle,South East,2010.0,81032.0,54587,28147.0,6524.0,15267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4649.0,0.5156355908916043,0.11951563559089161,0.27968197556194696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08516679795555718,England_not_london,con
55.0,Bexleyheath & Crayford,London,2010.0,65015.0,43182,21794.0,11450.0,5502.0,1557.0,371.0,0.0,0.0,0.0,0.0,0.0,2508.0,0.5047010328377565,0.2651567782872493,0.12741420036126164,0.03605669028761984,0.008591542772451484,0.0,0.0,0.0,0.0,0.0,0.05807975545366125,London,con
56.0,Birkenhead,North West,2010.0,62773.0,35323,6687.0,22082.0,6554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18931008125017693,0.6251450896016759,0.1855448291481471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England_not_london,lab
57.0,Birmingham Edgbaston,West Midlands,2010.0,68573.0,41571,15620.0,16894.0,6387.0,732.0,469.0,0.0,0.0,0.0,0.0,0.0,1469.0,0.37574270525125686,0.40638906930311997,0.15364075918308437,0.0176084289528758,0.011281903249861683,0.0,0.0,0.0,0.0,0.0,0.0353371340598013,England_not_london,lab
58.0,Birmingham Erdington,West Midlands,2010.0,66405.0,35546,11592.0,14869.0,5742.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,2501.0,0.32611264277274515,0.41830304394305967,0.1615371631125865,0.02368761604681258,0.0,0.0,0.0,0.0,0.0,0.0,0.07035953412479604,England_not_london,lab
59.0,Birmingham Hall Green,West Midlands,2010.0,76580.0,48727,7320.0,16039.0,11988.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,12430.0,0.1502247214070228,0.3291604244053605,0.24602376505838652,0.019496377778233834,0.0,0.0,0.0,0.0,0.0,0.0,0.2550947113509964,England_not_london,lab
60.0,Birmingham Hodge Hill,West Midlands,2010.0,75040.0,42472,4936.0,22077.0,11775.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,2970.0,0.1162177434545112,0.51980128084385,0.27724147673761534,0.016811075532115277,0.0,0.0,0.0,0.0,0.0,0.0,0.06992842343190808,England_not_london,lab
61.0,Birmingham Ladywood,West Midlands,2010.0,73646.0,35833,4277.0,19950.0,9845.0,902.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119359249853487,0.5567493651103731,0.27474674183015657,0.025172327184438924,0.023972316021544385,0.0,0.0,0.0,0.0,0.0,0.0,England_not_london,lab
62.0,Birmingham Northfield,West Midlands,2010.0,71338.0,41814,14059.0,16841.0,6550.0,1363.0,406.0,0.0,0.0,0.0,0.0,0.0,2595.0,0.33622710097096664,0.4027598412015115,0.15664609939254795,0.03259673793466303,0.009709666618835797,0.0,0.0,0.0,0.0,0.0,0.062060553881475106,England_not_london,lab
63.0,Birmingham Perry Barr,West Midlands,2010.0,71304.0,42045,8960.0,21142.0,9234.0,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,0.21310500654061126,0.5028421928885718,0.21962183374955405,0.03983826852182186,0.0,0.0,0.0,0.0,0.0,0.0,0.024592698299441076,England_not_london,lab
64.0,Birmingham Selly Oak,West Midlands,2010.0,74805.0,46563,14468.0,17950.0,10371.0,1131.0,664.0,0.0,0.0,0.0,0.0,0.0,1979.0,0.3107188110731697,0.3854992161158001,0.22273049416919014,0.02428967205721281,0.0142602495543672,0.0,0.0,0.0,0.0,0.0,0.042501557030260075,England_not_london,lab
65.0,Birmingham Yardley,West Midlands,2010.0,72321.0,40850,7836.0,13160.0,16162.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,2502.0,0.19182374541003672,0.32215422276621786,0.39564259485924114,0.029130966952264383,0.0,0.0,0.0,0.0,0.0,0.0,0.0612484700122399,England_not_london,ld
66.0,Bishop Auckland,North East,2010.0,68368.0,41136,10805.0,16023.0,9189.0,1119.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.2626653053286659,0.38951283547257876,0.22338098016336055,0.0272024504084014,0.0,0.0,0.0,0.0,0.0,0.0,0.09723842862699339,England_not_london,lab
67.0,Blackburn,North West,2010.0,72331.0,45499,11895.0,21751.0,6918.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,3993.0,0.26143431723774146,0.4780544627354447,0.15204729774280754,0.020703751730807272,0.0,0.0,0.0,0.0,0.0,0.0,0.08776017055319897,England_not_london,lab
68.0,Blackley & Broughton,North West,2010.0,69489.0,34204,6260.0,18563.0,4861.0,894.0,0.0,0.0,0.0,0.0,0.0,0.0,3626.0,0.18301952987954626,0.5427143024207695,0.14211788094959654,0.026137293883756286,0.0,0.0,0.0,0.0,0.0,0.0,0.10601099286633142,England_not_london,lab
69.0,Blackpool North & Cleveleys,North West,2010.0,66017.0,40591,16964.0,14814.0,5400.0,1659.0,0.0,0.0,0.0,0.0,0.0,0.0,1754.0,0.41792515582271933,0.36495774925476093,0.13303441649626765,0.040871129068020005,0.0,0.0,0.0,0.0,0.0,0.0,0.04321154935823212,England_not_london,con
70.0,Blackpool South,North West,2010.0,63027.0,35192,12597.0,14449.0,5082.0,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,1712.0,0.3579506706069561,0.4105762673334849,0.1444078199590816,0.03841782223232553,0.0,0.0,0.0,0.0,0.0,0.0,0.04864741986815185,England_not_london,lab
71.0,Blaenau Gwent,Wales,2010.0,52442.0,32395,2265.0,16974.0,3285.0,488.0,0.0,0.0,0.0,0.0,0.0,1333.0,8050.0,0.06991819725266245,0.5239697484179657,0.10140453773730514,0.015064053094613367,0.0,0.0,0.0,0.0,0.0,0.04114832535885168,0.24849513813860163,Wales,lab
72.0,Blaydon,North East,2010.0,67808.0,44913,7159.0,22297.0,13180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2277.0,0.15939705653151648,0.4964486896889542,0.29345623761494444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050698016164584865,England_not_london,lab
73.0,Blyth Valley,North East,2010.0,62900.0,38566,6412.0,17156.0,10488.0,1665.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.0,0.1662604366540476,0.44484779339314423,0.271949385469066,0.043172742830472434,0.0,0.0,0.0,0.0,0.0,0.0,0.07376964165326971,England_not_london,lab
74.0,Bognor Regis & Littlehampton,South East,2010.0,70816.0,46852,24087.0,6580.0,11024.0,3036.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.0,0.5141082557841714,0.14044224366088962,0.23529411764705882,0.06479979509946214,0.0,0.0,0.0,0.0,0.0,0.0,0.045355587808417995,England_not_london,con
75.0,Bolsover,East Midlands,2010.0,72766.0,43988,10812.0,21994.0,6821.0,1721.0,0.0,0.0,0.0,0.0,0.0,0.0,2640.0,0.24579430753841958,0.5,0.15506501773210876,0.03912430662908066,0.0,0.0,0.0,0.0,0.0,0.0,0.060016368100391015,England_not_london,lab
76.0,Bolton North East,North West,2010.0,66846.0,43277,15786.0,19870.0,5624.0,1815.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.3647665041476997,0.4591353374771819,0.12995355500612335,0.04193913626175567,0.0,0.0,0.0,0.0,0.0,0.0,0.004205467107239411,England_not_london,lab
77.0,Bolton South East,North West,2010.0,69499.0,39604,10148.0,18782.0,6289.0,1564.0,614.0,0.0,0.0,0.0,0.0,0.0,2207.0,0.2562367437632562,0.47424502575497424,0.1587970912029088,0.03949096050903949,0.015503484496515504,0.0,0.0,0.0,0.0,0.0,0.055726694273305726,England_not_london,lab
78.0,Bolton West,North West,2010.0,71284.0,47576,18235.0,18327.0,8177.0,1901.0,545.0,0.0,0.0,0.0,0.0,0.0,391.0,0.38328148646376325,0.38521523457205314,0.17187237262485286,0.039957121237598786,0.011455355641499916,0.0,0.0,0.0,0.0,0.0,0.00821842946023205,England_not_london,lab
79.0,Bootle,North West,2010.0,71422.0,41277,3678.0,27426.0,6245.0,2514.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.0,0.08910531288611091,0.6644378225161712,0.15129490999830414,0.06090558906897304,0.0,0.0,0.0,0.0,0.0,0.0,0.03425636553044068,England_not_london,lab
80.0,Boston & Skegness,East Midlands,2010.0,67186.0,43125,21325.0,8899.0,6371.0,4081.0,0.0,0.0,0.0,0.0,0.0,0.0,2449.0,0.4944927536231884,0.2063536231884058,0.14773333333333333,0.09463188405797102,0.0,0.0,0.0,0.0,0.0,0.0,0.05678840579710145,England_not_london,con
81.0,Bosworth,East Midlands,2010.0,77296.0,54274,23132.0,8674.0,18100.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,3270.0,0.426207760622029,0.15981869771898147,0.3334930169141762,0.020230681357556103,0.0,0.0,0.0,0.0,0.0,0.0,0.06024984338725725,England_not_london,con
82.0,Bournemouth East,South West,2010.0,71125.0,44024,21320.0,5836.0,13592.0,3027.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.4842813011084863,0.13256405596947118,0.3087406868980556,0.06875795020897692,0.0,0.0,0.0,0.0,0.0,0.0,0.005656005815009995,England_not_london,con
83.0,Bournemouth West,South West,2010.0,71753.0,41659,18808.0,6171.0,13225.0,2999.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,0.45147507141314003,0.14813125615113182,0.31745841234787203,0.07198924602126791,0.0,0.0,0.0,0.0,0.0,0.0,0.010946014066588253,England_not_london,con
84.0,Bracknell,South East,2010.0,76888.0,52136,27327.0,8755.0,11623.0,2297.0,821.0,0.0,0.0,0.0,0.0,0.0,1313.0,0.524148381156974,0.16792619303360443,0.2229361669479822,0.044057848703391134,0.015747276354150682,0.0,0.0,0.0,0.0,0.0,0.025184133803897498,England_not_london,con
85.0,Bradford East,Yorkshire and the Humber,2010.0,65116.0,40457,10860.0,13272.0,13637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,0.268433151247003,0.3280520058333539,0.33707393034579924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06644091257384384,England_not_london,ld
86.0,Bradford South,Yorkshire and the Humber,2010.0,63580.0,37995,11060.0,15682.0,6948.0,1339.0,0.0,0.0,0.0,0.0,0.0,0.0,2966.0,0.29109093301750233,0.4127385182260824,0.18286616660086855,0.03524147914199237,0.0,0.0,0.0,0.0,0.0,0.0,0.07806290301355441,England_not_london,lab
87.0,Bradford West,Yorkshire and the Humber,2010.0,62519.0,40576,12638.0,18401.0,4732.0,812.0,940.0,0.0,0.0,0.0,0.0,0.0,3053.0,0.31146490536277605,0.4534946766561514,0.11662066246056782,0.020011829652996846,0.02316640378548896,0.0,0.0,0.0,0.0,0.0,0.07524152208201892,England_not_london,lab
